Name,Type,Cuisine,Area,Address,Phone,Website,Opening Hours,OSM Rating,Latitude,Longitude,Google Maps,Google Rating,Google Reviews,Price Range,Special Notes,Source
Abdullah Biriani House,Restaurant,,Jatrabari,,,,,,23.7103748,90.4240971,"https://www.google.com/maps?q=23.7103748,90.4240971",N/A,N/A,N/A,N/A,OpenStreetMap
"Abdullah Biriyani House Restaurant, Keraniganj, Dhaka",Restaurant,,Old Dhaka,,,,,,23.695225,90.3991509,"https://www.google.com/maps?q=23.695225,90.3991509",N/A,N/A,N/A,N/A,OpenStreetMap
Abdullah cafe,Cafe,,Postogola,,,,,,23.704074,90.4204127,"https://www.google.com/maps?q=23.704074,90.4204127",N/A,N/A,N/A,N/A,OpenStreetMap
"Abdur Rahim Biriyani House, Chinkutia Chowrasta, South Keraniganj, Dhaka",Restaurant,,Old Dhaka,,,,,,23.6950486,90.3986785,"https://www.google.com/maps?q=23.6950486,90.3986785",N/A,N/A,N/A,N/A,OpenStreetMap
Abesh Hotel,Restaurant,,Pallabi,,,,,,23.8200407,90.3652635,"https://www.google.com/maps?q=23.8200407,90.3652635",N/A,N/A,N/A,N/A,OpenStreetMap
Abesh Hotel & Biriyani House,Biriyani House,Bengali / Mughlai,Mirpur-2,"2 Rd No. 2, Dhaka 1216",+880 1835-151873,N/A,6:00 AM – 11:00 PM,N/A,23.804,90.3637,N/A,4.1,6510,৳৳ Mid-range,"Bengali, handi, peshwari beef, biriyani, kabab",
Abesh Hotel and Restaurant (Branch- 02),Restaurant,,Pallabi,"16/8, বেগম রোকেয়া সরণী",,,24/7,,23.8289027,90.3643932,"https://www.google.com/maps?q=23.8289027,90.3643932",N/A,N/A,N/A,N/A,OpenStreetMap
Abir Foods,Restaurant,,Pallabi,,,,,,23.8242211,90.3625078,"https://www.google.com/maps?q=23.8242211,90.3625078",N/A,N/A,N/A,N/A,OpenStreetMap
Abul Hotel,Restaurant,,Malibagh,ডিআইটি সড়ক,,,,,23.7546393,90.4153943,"https://www.google.com/maps?q=23.7546393,90.4153943",N/A,N/A,N/A,N/A,OpenStreetMap
Adda,Restaurant,burger;pizza;coffee_shop;chicken;kebab,Mirpur,বেগম রোকেয়া সরণী,,,,,23.7953398,90.373763,"https://www.google.com/maps?q=23.7953398,90.373763",N/A,N/A,N/A,N/A,OpenStreetMap
Adda Dot Com,Cafe,,Mirpur,Road 3,,,,,23.8101678,90.3685451,"https://www.google.com/maps?q=23.8101678,90.3685451",N/A,N/A,N/A,N/A,OpenStreetMap
Adda Restaurant and Part Center,Restaurant,,Dhanmondi,,,,,,23.7418942,90.3824631,"https://www.google.com/maps?q=23.7418942,90.3824631",N/A,N/A,N/A,N/A,OpenStreetMap
Adda Zone,Café / Coffee Shop,Café / Bakery / Dessert,Mirpur-1,"Rd No. 2, Dhaka",+880 1861-047344,N/A,12:00 PM – 11:00 PM,N/A,23.8009,90.3637,N/A,4.7,12,,"Tea, coffee, small bites, budget, roadside",
Adi Moron Chand Ghosh and Sons Mistanno Vandar,Restaurant,,Old Dhaka,"18, Nawabpur Rd",,,Mo-Su 08:00-22:00,,23.7149822,90.4115215,"https://www.google.com/maps?q=23.7149822,90.4115215",N/A,N/A,N/A,N/A,OpenStreetMap
Aftab Restaurant,Restaurant,,Old Dhaka,,,,,,23.7234387,90.4001501,"https://www.google.com/maps?q=23.7234387,90.4001501",N/A,N/A,N/A,N/A,OpenStreetMap
Aftab Restaurant,Restaurant,,Hazaribagh,Jigatala,,,Mo-Su 07:00-22:00,,23.7388176,90.3747562,"https://www.google.com/maps?q=23.7388176,90.3747562",N/A,N/A,N/A,N/A,OpenStreetMap
Aftab Restaurant and Kabab,Restaurant,,Other Dhaka,"Keari Crescent Tower, Jigatola Bus Stand",,,07:00-23:00,,23.7392659,90.3753332,"https://www.google.com/maps?q=23.7392659,90.3753332",N/A,N/A,N/A,N/A,OpenStreetMap
Agrani Restaurant অগ্রণী রেস্টুরেন্ট,Restaurant,,Unknown,,,,,,,,,N/A,N/A,N/A,N/A,OpenStreetMap
Agun Kabab,Restaurant,,Malibagh,,,,,,23.7525521,90.4186968,"https://www.google.com/maps?q=23.7525521,90.4186968",N/A,N/A,N/A,N/A,OpenStreetMap
Ahely,Restaurant,regional,Gulshan,,,,,,23.79277,90.4065875,"https://www.google.com/maps?q=23.79277,90.4065875",N/A,N/A,N/A,N/A,OpenStreetMap
Ahhare!!!,Restaurant,,Mirpur,,,,,,23.8087924,90.360655,"https://www.google.com/maps?q=23.8087924,90.360655",N/A,N/A,N/A,N/A,OpenStreetMap
Ahmed Burger Shop,Restaurant,"burger,Pizza,Sandwich",Old Dhaka,Municipal Rd,,,,,23.7084587,90.414738,"https://www.google.com/maps?q=23.7084587,90.414738",N/A,N/A,N/A,N/A,OpenStreetMap
Ahmed Food Plaza,Restaurant,,Mirpur,,,,,,23.8181494,90.3657662,"https://www.google.com/maps?q=23.8181494,90.3657662",N/A,N/A,N/A,N/A,OpenStreetMap
Ahmed's Biriyani,Biriyani House,Bengali / Mughlai,Sector 11,"House No. 42, Rd -15",+880 1825-013931,N/A,12:00 PM – 11:00 PM,N/A,23.855,90.404,N/A,4.7,9,,"Kacchi biriyani, tehari, small gem",
Ahnaf Chinese Food,Fast Food,,Shahbagh,,,,"Mo-Th,Sa-Su 10:00-22:00; Fr off",,23.7385929,90.3929803,"https://www.google.com/maps?q=23.7385929,90.3929803",N/A,N/A,N/A,N/A,OpenStreetMap
Ahsanullah Canteen,Cafe,,Old Dhaka,,,,,,23.7240795,90.3930258,"https://www.google.com/maps?q=23.7240795,90.3930258",N/A,N/A,N/A,N/A,OpenStreetMap
Airport Hotel & Restora,Restaurant,regional,Other Dhaka,"Hazi Camp Road, Bimanbandar Chattar",,,6:00-24:00,,23.8506176,90.4090743,"https://www.google.com/maps?q=23.8506176,90.4090743",N/A,N/A,N/A,N/A,OpenStreetMap
Ajo Idea Space,Restaurant,,Uttara,"House 14/A, Road 2 Sector 13",+88 01613-161616,https://m.facebook.com/AjoIdeaSpace/,11:00-23:00,,23.8704336,90.3921608,"https://www.google.com/maps?q=23.8704336,90.3921608",N/A,N/A,N/A,N/A,OpenStreetMap
Ajuya Juice & Food Corner,Food Court,,Bashabo,,,,,,23.7549369,90.4438038,"https://www.google.com/maps?q=23.7549369,90.4438038",N/A,N/A,N/A,N/A,OpenStreetMap
Ajwah,Fast Food,,Bashundhara,,,,,,23.812364,90.4249691,"https://www.google.com/maps?q=23.812364,90.4249691",N/A,N/A,N/A,N/A,OpenStreetMap
Akbar Hotel,Restaurant,,Demra,,,,,,23.7123811,90.450882,"https://www.google.com/maps?q=23.7123811,90.450882",N/A,N/A,N/A,N/A,OpenStreetMap
Al Aman Restaurant,Restaurant,,Mirpur,,,,,,23.8153292,90.3665529,"https://www.google.com/maps?q=23.8153292,90.3665529",N/A,N/A,N/A,N/A,OpenStreetMap
Al Amin Biryani Ghor,Restaurant,asian;biryani;bangladeshi,Bashabo,,+8801705500868,,,,23.7403709,90.4337281,"https://www.google.com/maps?q=23.7403709,90.4337281",N/A,N/A,N/A,N/A,OpenStreetMap
Al Amin Restaurant,Restaurant,,Mirpur,,,,,,23.7964932,90.3501898,"https://www.google.com/maps?q=23.7964932,90.3501898",N/A,N/A,N/A,N/A,OpenStreetMap
Al Arabian,Fast Food,,Malibagh,,,,,,23.7493339,90.4263109,"https://www.google.com/maps?q=23.7493339,90.4263109",N/A,N/A,N/A,N/A,OpenStreetMap
Al Baik Restaurant and Kabab Ghor,Restaurant,,Bashundhara,"Askona Purbapara, Dakshinkhan",+880183315803,,,,23.8511076,90.4200413,"https://www.google.com/maps?q=23.8511076,90.4200413",N/A,N/A,N/A,N/A,OpenStreetMap
Al Helal Restora,Restaurant,asian,Mohammadpur,,,,sunrise-sunset,1.0,23.7784082,90.3769701,"https://www.google.com/maps?q=23.7784082,90.3769701",N/A,N/A,N/A,N/A,OpenStreetMap
Al Kaderia Restaurant,Fast Food,,Malibagh,Shahid Baki Sarak,,,,,23.7521791,90.4169045,"https://www.google.com/maps?q=23.7521791,90.4169045",N/A,N/A,N/A,N/A,OpenStreetMap
Al Modina Hotel and Restaurant,Restaurant,,Gulshan,korail,,,,,23.7852388,90.4067588,"https://www.google.com/maps?q=23.7852388,90.4067588",N/A,N/A,N/A,N/A,OpenStreetMap
Al Muslim Hotel & Restaurant,Restaurant,,Old Dhaka,,,,,,23.7188342,90.4057541,"https://www.google.com/maps?q=23.7188342,90.4057541",N/A,N/A,N/A,N/A,OpenStreetMap
Al Sifat Restaurant,Restaurant,,Motijheel,Fakirapool Road,,,Mo-Su 07:00-22:00,,23.73268,90.4151866,"https://www.google.com/maps?q=23.73268,90.4151866",N/A,N/A,N/A,N/A,OpenStreetMap
Al-Amin Restora,Restaurant,regional,Other Dhaka,"Bimanbandar Gol Chattar, Bimanbandar",+08801777641431,,,,23.8505246,90.4090508,"https://www.google.com/maps?q=23.8505246,90.4090508",N/A,N/A,N/A,N/A,OpenStreetMap
Al-Amin Snacks,Fast Food,,Eskaton,,,,,,23.750346,90.4088101,"https://www.google.com/maps?q=23.750346,90.4088101",N/A,N/A,N/A,N/A,OpenStreetMap
Al-Habibi Corner,Fast Food,,Pallabi,,,,,,23.8200667,90.3652568,"https://www.google.com/maps?q=23.8200667,90.3652568",N/A,N/A,N/A,N/A,OpenStreetMap
Al-Hera,Restaurant,pizza;chicken;burger,Unknown,,,,,,,,,N/A,N/A,N/A,N/A,OpenStreetMap
"Al-Madina Birani House, Bashbari Lane, Chowrasta - Joydebpur Rd, Dhaka",Restaurant,,Old Dhaka,,,,,,23.7142135,90.4069501,"https://www.google.com/maps?q=23.7142135,90.4069501",N/A,N/A,N/A,N/A,OpenStreetMap
Al-Razzaque Restaurant,Restaurant,Bangladeshi,Old Dhaka,"29/1, North South Road, Bangshal, Dhaka",+8809566412,,Mo-Su 06:00-24:00; PH closed,,23.7182724,90.4086597,"https://www.google.com/maps?q=23.7182724,90.4086597",N/A,N/A,N/A,N/A,OpenStreetMap
Al-Robin Restaurant and Kabab,Restaurant,,Mohammadpur,,,,,,23.7834414,90.3749688,"https://www.google.com/maps?q=23.7834414,90.3749688",N/A,N/A,N/A,N/A,OpenStreetMap
"Al-Zafran Juice Bar ~ Nazira Bazar, Kazi Alauddin Road, near bangabazar, Dhaka",Fast Food,juice,Old Dhaka,,,,,,23.7225247,90.4056908,"https://www.google.com/maps?q=23.7225247,90.4056908",N/A,N/A,N/A,N/A,OpenStreetMap
Al-amar,Restaurant,lebanese,Dhanmondi,,,,,,23.7528686,90.3691937,"https://www.google.com/maps?q=23.7528686,90.3691937",N/A,N/A,N/A,N/A,OpenStreetMap
AlFresco,Restaurant,,Dhanmondi,,,,,,23.7530269,90.3691849,"https://www.google.com/maps?q=23.7530269,90.3691849",N/A,N/A,N/A,N/A,OpenStreetMap
Aladdin,Restaurant,,Mirpur,,,,,,23.8110405,90.36847,"https://www.google.com/maps?q=23.8110405,90.36847",N/A,N/A,N/A,N/A,OpenStreetMap
Aladdin Restaurant,Casual Dining,Bengali / Mughlai,Mirpur-10,"House 11, Road 05, Block A, Benaroshi Palli",+880 1958-230352,N/A,11:00 AM – 12:00 AM,N/A,23.8101,90.3637,N/A,3.6,100,,"Arabian-themed, handi beef, prawn tempura",
Alamin Sweets And Bakery আলামিন মিষ্টি ও বেকারি,Restaurant,,Uttara,,,,,,23.8935031,90.403568,"https://www.google.com/maps?q=23.8935031,90.403568",N/A,N/A,N/A,N/A,OpenStreetMap
Alauddin Sweetmeat,Restaurant,,Old Dhaka,1 No. Chawak Circular Road,,,,,23.7161861,90.3960086,"https://www.google.com/maps?q=23.7161861,90.3960086",N/A,N/A,N/A,N/A,OpenStreetMap
Alfresco Uttara,Fast Food,Western / Fast Food,Sector 11,Garib-E-Newaz Ave,+880 1977-738900,N/A,11:00 AM – 11:00 PM,N/A,23.855,90.404,N/A,4.1,1719,৳৳ Mid-range,"Pasta, lasagna, continental, cream of mushroom, long standing",
Alhamdulillah Kebab Ghar,Restaurant,,Old Dhaka,"42, Nawab Yousuf Sarak",,,Mo-Su 10:00-22:00,,23.7141794,90.4059863,"https://www.google.com/maps?q=23.7141794,90.4059863",N/A,N/A,N/A,N/A,OpenStreetMap
Ali Chap Kebab Ghar,Restaurant,,Mirpur,,,,,,23.8163237,90.3662258,"https://www.google.com/maps?q=23.8163237,90.3662258",N/A,N/A,N/A,N/A,OpenStreetMap
"Alif Hotel & Restaurant, Chunkutia Chowrasta, Keraniganj, Dhaka",Restaurant,,Old Dhaka,,,,,,23.6954663,90.3990889,"https://www.google.com/maps?q=23.6954663,90.3990889",N/A,N/A,N/A,N/A,OpenStreetMap
Alif Restaurant and Juice Bar,Fast Food,,Gulshan,Road 3 Niketon Block A,,,,,23.7757772,90.4119385,"https://www.google.com/maps?q=23.7757772,90.4119385",N/A,N/A,N/A,N/A,OpenStreetMap
Alkaderia Restaurant,Restaurant,regional;indian;chicken;asian;kebab,Rampura,"2/3, D. I. T. Road, Rampura",+8801721497089,,Mo-Su 06:00-23:00,,23.7592575,90.4183362,"https://www.google.com/maps?q=23.7592575,90.4183362",N/A,N/A,N/A,N/A,OpenStreetMap
All Baraka Hotel & Restaurant,Restaurant,,Mirpur,,,,"PH,Mo-Su 07:00-23:30",,23.8067879,90.3683627,"https://www.google.com/maps?q=23.8067879,90.3683627",N/A,N/A,N/A,N/A,OpenStreetMap
All-One,Restaurant,coffee_shop,Unknown,Azimpur Koborsthan Road,,,,,,,,N/A,N/A,N/A,N/A,OpenStreetMap
Allah AR Dan Hotel And Resturent,Restaurant,,Unknown,,,,,,,,,N/A,N/A,N/A,N/A,OpenStreetMap
Allah'r Daan Vai Vai Hotel,Restaurant,regional,Pallabi,"77, Main Road",,,08:00-10:00,,23.82361,90.3536428,"https://www.google.com/maps?q=23.82361,90.3536428",N/A,N/A,N/A,N/A,OpenStreetMap
Allah'r Dan Biriyani House,Restaurant,,Mirpur,,,,,,23.8078685,90.361326,"https://www.google.com/maps?q=23.8078685,90.361326",N/A,N/A,N/A,N/A,OpenStreetMap
Allahar Dan Biriyani House,Restaurant,,Jatrabari,,,,,,23.70122,90.4280503,"https://www.google.com/maps?q=23.70122,90.4280503",N/A,N/A,N/A,N/A,OpenStreetMap
Allahar Dan Restaurant,Restaurant,,Elephant Road,New Market Kacha Bazar,,,,,23.7339721,90.3832348,"https://www.google.com/maps?q=23.7339721,90.3832348",N/A,N/A,N/A,N/A,OpenStreetMap
Allahr Daan Kabab and Biriyani House,Fast Food,kebab,Mirpur,,,,,,23.7951862,90.3520864,"https://www.google.com/maps?q=23.7951862,90.3520864",N/A,N/A,N/A,N/A,OpenStreetMap
Allahr Dan Biryani,Restaurant,,Bashundhara,,,,,,23.8124189,90.4249991,"https://www.google.com/maps?q=23.8124189,90.4249991",N/A,N/A,N/A,N/A,OpenStreetMap
"Allahr Dan Biryani House, Hazi Khorshed Ali Sarder Road, East Jurain, Dhaka,",Restaurant,,Postogola,,,,,,23.6936253,90.4355575,"https://www.google.com/maps?q=23.6936253,90.4355575",N/A,N/A,N/A,N/A,OpenStreetMap
Allahr daan Hotel & Restaura,Restaurant,,Other Dhaka,"Ashkona, Dakshinkhan Road",+8801822146344,,,,23.8515152,90.4173382,"https://www.google.com/maps?q=23.8515152,90.4173382",N/A,N/A,N/A,N/A,OpenStreetMap
Allar Dan Restaurant,Restaurant,regional,Other Dhaka,Hazi Badsha Miah Road,,,Mo-Su 07:00-21:00,,23.6953967,90.475684,"https://www.google.com/maps?q=23.6953967,90.475684",N/A,N/A,N/A,N/A,OpenStreetMap
Almajlis Arabian Restaurant,Casual Dining,Turkish / Middle Eastern,Gulshan 2,"2nd Floor, Faisal Tower, 27 North C/A",+880 1830-000233,N/A,2:00 PM – 4:30 AM,N/A,,,N/A,4.6,411,,"Authentic lamb mandi, kebab, Arabic music, Moroccan feel, late night",
Alomer Vater Hotel,Restaurant,,Mirpur,,,,,,23.817427,90.3561124,"https://www.google.com/maps?q=23.817427,90.3561124",N/A,N/A,N/A,N/A,OpenStreetMap
Alu-Bhorta-Daal-Bhat,Restaurant,,Mohammadpur,,,,,,23.7855512,90.3673713,"https://www.google.com/maps?q=23.7855512,90.3673713",N/A,N/A,N/A,N/A,OpenStreetMap
Ambar Biryani Pot,Restaurant,,Old Dhaka,R M Das Lane,,,Mo-Su 09:00-23:00,,23.7102093,90.4178486,"https://www.google.com/maps?q=23.7102093,90.4178486",N/A,N/A,N/A,N/A,OpenStreetMap
Ambrasia,Restaurant,,Other Dhaka,,,,,,23.7419658,90.4101925,"https://www.google.com/maps?q=23.7419658,90.4101925",N/A,N/A,N/A,N/A,OpenStreetMap
Amej,Fast Food,juice,Mirpur,,,,,,23.7971578,90.364968,"https://www.google.com/maps?q=23.7971578,90.364968",N/A,N/A,N/A,N/A,OpenStreetMap
American Burger,Restaurant,,Hazaribagh,Satmasjid Road,,,,,23.7405519,90.3749874,"https://www.google.com/maps?q=23.7405519,90.3749874",N/A,N/A,N/A,N/A,OpenStreetMap
American Burger Gulshan 2,Fast Food,Western / Continental,Gulshan 2,"Metropolitan Shopping Plaza Shop#21-22, Road#46",+880 1749-221814,N/A,10:00 AM – 11:30 PM,N/A,,,N/A,4.3,990,,"Quality beef patty, freshness focus, chicken sandwich, local favourite",
Amigos' Pizza & Restaurant,Restaurant,,Old Dhaka,"90, Abul Hasnat Rd",,,,,23.7183473,90.4004803,"https://www.google.com/maps?q=23.7183473,90.4004803",N/A,N/A,N/A,N/A,OpenStreetMap
Amish & Fuddy Buddy,Restaurant,,Mohammadpur,,,,,,23.7626299,90.3619876,"https://www.google.com/maps?q=23.7626299,90.3619876",N/A,N/A,N/A,N/A,OpenStreetMap
Amish Proteen,Restaurant,,Mohammadpur,,,,,,23.7626011,90.3618588,"https://www.google.com/maps?q=23.7626011,90.3618588",N/A,N/A,N/A,N/A,OpenStreetMap
Amontron,Cafe,,Mirpur,,,,,,23.8097534,90.3639127,"https://www.google.com/maps?q=23.8097534,90.3639127",N/A,N/A,N/A,N/A,OpenStreetMap
Amontron Hotel And Restaurant,Restaurant,,Banani,,,,,,23.7931018,90.4005801,"https://www.google.com/maps?q=23.7931018,90.4005801",N/A,N/A,N/A,N/A,OpenStreetMap
Amrit Restaurant,Restaurant,,Banani,,,,,,23.7933496,90.4044557,"https://www.google.com/maps?q=23.7933496,90.4044557",N/A,N/A,N/A,N/A,OpenStreetMap
Anand Restaurant,Restaurant,,Other Dhaka,,,,,,23.7761095,90.3932682,"https://www.google.com/maps?q=23.7761095,90.3932682",N/A,N/A,N/A,N/A,OpenStreetMap
Ananda Bhaban Community Center,Restaurant,,Unknown,"55, Purana Paltan Line",+8801786064031,,,,,,,N/A,N/A,N/A,N/A,OpenStreetMap
Ananda Confectionery,Restaurant,,Old Dhaka,Abul Hasnat Road,,,,,23.7184295,90.4001135,"https://www.google.com/maps?q=23.7184295,90.4001135",N/A,N/A,N/A,N/A,OpenStreetMap
Ananya Restaurant,Restaurant,,Dhanmondi,,,,,,23.7499729,90.386884,"https://www.google.com/maps?q=23.7499729,90.386884",N/A,N/A,N/A,N/A,OpenStreetMap
Ancholik khana,Restaurant,bangladeshi,Rayer Bazar,,,,,,23.749558,90.3654854,"https://www.google.com/maps?q=23.749558,90.3654854",N/A,N/A,N/A,N/A,OpenStreetMap
"Anisha food zone/ CP Five Star - Anisa, Restaurant, New Doyaganj Road, Shamibagh, Dhaka",Restaurant,,Jatrabari,,,,,,23.7117968,90.4233964,"https://www.google.com/maps?q=23.7117968,90.4233964",N/A,N/A,N/A,N/A,OpenStreetMap
Anjum Kabab and Restaurant,Casual Dining,Turkish / Middle Eastern,Sector 13,55 Shah Makhdum Ave,,N/A,Open 24 hours,N/A,23.855,90.404,N/A,3.9,424,৳৳ Mid-range,"Grill, kabab, paratha, milk tea, 24/7",
Anondo Snacks,Fast Food,regional,Elephant Road,নিউমার্কেট ফুটওভার ব্রিজ,,,10:00+,,23.7342462,90.3843452,"https://www.google.com/maps?q=23.7342462,90.3843452",N/A,N/A,N/A,N/A,OpenStreetMap
Apon Coffee Shop,Cafe,coffee_shop,Malibagh,Shahid Baki Sarak,,,,,23.7522232,90.421561,"https://www.google.com/maps?q=23.7522232,90.421561",N/A,N/A,N/A,N/A,OpenStreetMap
Appetina,Fast Food,,Mohammadpur,,,,,,23.7629061,90.3615014,"https://www.google.com/maps?q=23.7629061,90.3615014",N/A,N/A,N/A,N/A,OpenStreetMap
Aqua Deck,Restaurant,,Shahbagh,,,,,,23.7409721,90.3971906,"https://www.google.com/maps?q=23.7409721,90.3971906",N/A,N/A,N/A,N/A,OpenStreetMap
Aqua Java,Restaurant,,Pallabi,,,,,,23.8366061,90.3767214,"https://www.google.com/maps?q=23.8366061,90.3767214",N/A,N/A,N/A,N/A,OpenStreetMap
Arabian,Restaurant,,Mirpur,,,,,,23.8184209,90.3657286,"https://www.google.com/maps?q=23.8184209,90.3657286",N/A,N/A,N/A,N/A,OpenStreetMap
Arabian Fast Food,Fast Food,,Dhanmondi,,,,,,23.7423149,90.3823549,"https://www.google.com/maps?q=23.7423149,90.3823549",N/A,N/A,N/A,N/A,OpenStreetMap
Arabian Fast Food,Fast Food,,Hatirpool,"35, ধানমণ্ডি ২",,,,,23.7383154,90.3780124,"https://www.google.com/maps?q=23.7383154,90.3780124",N/A,N/A,N/A,N/A,OpenStreetMap
